id,area,floor,max_floor,type,wall_type,rooms,region,year,price
1,45.0,3,5,Вторичка,кирпичный,1,Ленинский,,3800000
2,36.0,3,17,Новостройки,монолитный,1,Фрунзенский,,2440000
3,35.0,6,9,Новостройки,кирпичный,1,Заволжский,,1638000
4,69.9,5,9,Вторичка,кирпичный,3,Фрунзенский,,4000000
5,44.0,4,5,Вторичка,панельный,2,Дзержинский,,1600000
6,49.0,5,9,Вторичка,кирпичный,2,Красноперекопский,1982,2600000
7,55.0,4,4,Вторичка,кирпичный,3,Ленинский,1963,2550000
8,72.6,1,5,Вторичка,панельный,4,Фрунзенский,1986,2300000
9,45.0,2,9,Новостройки,кирпичный,1,Дзержинский,,1900000
10,38.5,16,18,Вторичка,кирпичный,1,Фрунзенский,,1849000
11,49.1,5,5,Вторичка,панельный,2,Дзержинский,,1550000
12,31.0,2,5,Вторичка,кирпичный,1,Фрунзенский,,1250000
13,30.0,2,2,Вторичка,кирпичный,1,Заволжский,,1350000
14,45.0,11,14,Новостройки,монолитный,1,Фрунзенский,,1850000
15,63.0,1,9,Вторичка,кирпичный,3,Фрунзенский,,2400000
16,35.0,1,3,Вторичка,кирпичный,1,Ленинский,,1650000
17,35.0,1,4,Вторичка,кирпичный,1,Заволжский,2017,2300000
18,50.2,1,9,Вторичка,кирпичный,2,Фрунзенский,,2250000
19,47.0,1,9,Вторичка,панельный,1,Дзержинский,1976,1629000
20,74.0,3,3,Вторичка,кирпичный,3,Кировский,,3300000
21,43.0,3,5,Вторичка,кирпичный,2,Красноперекопский,,1700000
22,36.0,1,17,Новостройки,монолитный,1,Фрунзенский,,1750000
23,,2,5,Вторичка,кирпичный,1,Ленинский,1963,1690000
24,60.2,3,5,Вторичка,кирпичный,2,Красноперекопский,1972,3100000
25,34.0,3,3,Вторичка,кирпичный,1,Заволжский,2014,1550000
26,40.5,11,17,Вторичка,кирпичный,1,Дзержинский,,1810000
27,47.0,4,5,Вторичка,кирпичный,2,Красноперекопский,,2200000
28,37.0,1,3,Вторичка,кирпичный,1,Красноперекопский,,750000
29,34.0,7,16,Новостройки,кирпичный,1,Заволжский,,1475000
30,49.4,6,9,Вторичка,панельный,2,Дзержинский,,2300000
31,61.7,1,9,Вторичка,кирпичный,3,Дзержинский,,3400000
32,37.8,1,4,Вторичка,кирпичный,1,Заволжский,,1350000
33,44.0,2,5,Вторичка,кирпичный,3,Заволжский,,1600000
34,36.6,17,17,Новостройки,монолитный,1,Фрунзенский,,2078880
35,41.5,4,5,Вторичка,кирпичный,2,Фрунзенский,1975,2250000
36,37.4,8,17,Вторичка,кирпичный,1,Красноперекопский,,2100000
37,41.3,4,10,Вторичка,кирпичный,1,Фрунзенский,,2700000
38,71.0,2,8,Вторичка,кирпичный,2,Красноперекопский,,4800000
39,35.0,2,4,Вторичка,кирпичный,1,Дзержинский,1954,1750000
40,38.0,9,9,Вторичка,панельный,1,Заволжский,1988,1950000
41,87.0,1,9,Вторичка,панельный,4,Дзержинский,,2699000
42,63.0,1,3,Вторичка,кирпичный,3,Красноперекопский,1958,2650000
43,31.0,2,5,Вторичка,панельный,1,Дзержинский,1972,1650000
44,35.0,8,9,Вторичка,панельный,1,Дзержинский,1983,1710000
45,43.0,6,17,Новостройки,монолитный,1,Фрунзенский,,2400000
46,99.0,9,10,Вторичка,кирпичный,3,Дзержинский,,6850000
47,36.0,4,10,Вторичка,панельный,1,Фрунзенский,,2000000
48,,2,5,Вторичка,кирпичный,1,Фрунзенский,,1650000
49,84.0,4,5,Вторичка,панельный,4,Дзержинский,,2600000
50,,1,5,Вторичка,кирпичный,1,Красноперекопский,,1450000
51,76.0,2,10,Вторичка,кирпичный,3,Фрунзенский,,4150000
52,86.0,1,10,Вторичка,кирпичный,3,Заволжский,,4300000
53,,8,9,Вторичка,панельный,1,Дзержинский,,1200000
54,,5,5,Вторичка,панельный,1,Дзержинский,,1250000
55,57.2,5,5,Вторичка,панельный,3,Кировский,,3400000
56,39.0,1,9,Вторичка,панельный,1,Заволжский,,1850000
57,65.7,4,4,Вторичка,кирпичный,3,Ленинский,,2900000
58,65.0,4,11,Новостройки,панельный,2,Фрунзенский,,3050000
59,54.3,8,9,Вторичка,кирпичный,3,Ленинский,1977,2409000
60,50.0,7,9,Вторичка,панельный,2,Дзержинский,,2450000
61,38.0,1,9,Вторичка,панельный,1,Заволжский,,1800000
62,32.0,1,5,Вторичка,кирпичный,1,Красноперекопский,,1300000
63,57.0,4,5,Вторичка,панельный,3,Дзержинский,,2700000
64,28.0,12,12,Новостройки,кирпичный,студии,Фрунзенский,2018,1780000
65,66.0,6,9,Вторичка,блочный,3,Дзержинский,,2750000
66,51.0,3,3,Новостройки,кирпичный,1,Заволжский,,2370000
67,97.6,2,3,Новостройки,кирпичный,3,Фрунзенский,,4902500
68,49.0,3,3,Вторичка,кирпичный,2,Красноперекопский,1918,1100000
69,59.3,6,12,Новостройки,кирпичный,2,Фрунзенский,2018,2693490
70,81.0,2,10,Новостройки,кирпичный,3,Дзержинский,,3471930
71,59.4,5,9,Новостройки,кирпичный,2,Заволжский,,2704520
72,69.0,1,9,Новостройки,монолитный,2,Фрунзенский,2016,3260000
73,69.9,3,9,Новостройки,кирпичный,2,Ленинский,,4335660
74,36.6,3,17,Новостройки,монолитный,1,Фрунзенский,,2027640
75,58.8,7,10,Новостройки,кирпичный,2,Фрунзенский,,2620620
76,44.8,6,9,Новостройки,кирпичный,1,Кировский,,2999000
77,71.8,5,5,Вторичка,кирпичный,2,Фрунзенский,2015,3490000
78,153.0,4,5,Вторичка,кирпичный,3,Кировский,,22950000
79,42.4,8,9,Новостройки,кирпичный,1,Ленинский,,2713600
80,60.9,3,4,Новостройки,кирпичный,2,Фрунзенский,,2831850
81,46.0,3,3,Новостройки,кирпичный,1,Заволжский,,1630000
82,42.3,1,5,Вторичка,кирпичный,1,Фрунзенский,2015,2600000
83,70.0,4,10,Вторичка,кирпичный,3,Дзержинский,,4300000
84,38.1,3,13,Новостройки,монолитный,1,Дзержинский,2018,1766100
85,65.0,4,4,Новостройки,кирпичный,2,Дзержинский,,2900000
86,50.3,3,3,Новостройки,кирпичный,2,Красноперекопский,,2072300
87,69.1,7,9,Новостройки,кирпичный,2,Фрунзенский,,3179980
88,36.0,1,3,Вторичка,кирпичный,1,Фрунзенский,,1450000
89,50.3,1,3,Новостройки,кирпичный,2,Красноперекопский,,1996850
90,99.4,4,6,Новостройки,монолитный,2,Фрунзенский,,5566960
91,,1,3,Новостройки,кирпичный,1,Красноперекопский,,1152700
92,54.4,3,12,Новостройки,монолитный,2,Заволжский,,3008320
93,37.1,3,3,Новостройки,кирпичный,1,Красноперекопский,,1382700
94,51.0,3,9,Вторичка,монолитный,2,Заволжский,1988,2390000
95,42.8,2,8,Новостройки,кирпичный,1,Заволжский,,1742500
96,100.0,4,9,Новостройки,кирпичный,3,Фрунзенский,,4540000
97,33.9,8,16,Новостройки,кирпичный,1,Заволжский,,1475520
98,38.2,3,3,Новостройки,кирпичный,1,Красноперекопский,,1690800
99,38.8,7,16,Новостройки,кирпичный,1,Заволжский,,1687365
100,,1,3,Новостройки,кирпичный,1,Красноперекопский,,1152700
101,54.4,3,12,Новостройки,монолитный,2,Заволжский,,3008320
102,37.1,3,3,Новостройки,кирпичный,1,Красноперекопский,,1382700
103,51.0,3,9,Вторичка,монолитный,2,Заволжский,1988,2390000
104,42.8,2,8,Новостройки,кирпичный,1,Заволжский,,1742500
105,100.0,4,9,Новостройки,кирпичный,3,Фрунзенский,,4540000
106,33.9,8,16,Новостройки,кирпичный,1,Заволжский,,1475520
107,38.2,3,3,Новостройки,кирпичный,1,Красноперекопский,,1690800
108,38.8,7,16,Новостройки,кирпичный,1,Заволжский,,1687365
109,42.5,3,6,Новостройки,монолитный,1,Фрунзенский,,2382240
110,76.1,1,3,Новостройки,кирпичный,3,Красноперекопский,,2863750
111,,2,3,Вторичка,кирпичный,1,Ленинский,,1350000
112,63.3,4,5,Вторичка,панельный,3,Красноперекопский,,1999000
113,53.0,8,9,Вторичка,кирпичный,2,Кировский,,4480000
114,58.1,5,6,Новостройки,монолитный,2,Фрунзенский,,3255840
115,76.0,2,3,Новостройки,кирпичный,3,Красноперекопский,,2901800
116,37.0,8,10,Вторичка,панельный,1,Дзержинский,,2280000
117,56.4,8,9,Вторичка,блочный,3,Фрунзенский,,2200000
118,98.7,3,6,Новостройки,монолитный,3,Фрунзенский,,5526640
119,71.5,3,8,Новостройки,кирпичный,2,Красноперекопский,,3575500
120,100.2,5,6,Новостройки,монолитный,3,Фрунзенский,,5613440
121,60.7,12,13,Новостройки,монолитный,2,Дзержинский,2018,2768402
122,63.0,5,5,Вторичка,кирпичный,3,Кировский,1969,3070000
123,58.7,10,10,Вторичка,панельный,2,Заволжский,,2690000
124,82.0,6,6,Вторичка,кирпичный,2,Фрунзенский,,3999000
125,85.1,20,20,Новостройки,кирпичный,3,Фрунзенский,2017,4256000
126,44.3,3,8,Новостройки,кирпичный,1,Красноперекопский,,2215500
127,38.1,6,6,Новостройки,кирпичный,1,Заволжский,,1680800
128,69.0,3,6,Новостройки,кирпичный,2,Фрунзенский,,2850000
129,62.0,10,11,Вторичка,кирпичный,3,Красноперекопский,1992,4200000
130,58.4,16,16,Новостройки,монолитный,2,Дзержинский,2018,2554890
131,60.2,6,6,Новостройки,монолитный,2,Фрунзенский,,3311000
132,37.6,1,9,Вторичка,панельный,1,Заволжский,,1640000
133,54.4,2,9,Вторичка,панельный,3,Дзержинский,1976,2470000
134,64.7,6,6,Новостройки,кирпичный,2,Фрунзенский,,3624320
135,74.0,9,18,Вторичка,монолитный,2,Ленинский,,5500000
136,67.0,3,9,Вторичка,кирпичный,3,Фрунзенский,1989,2490000
137,43.0,3,3,Новостройки,кирпичный,1,Заволжский,,2707216
138,45.0,16,18,Вторичка,кирпичный,1,Фрунзенский,,2600000
139,63.0,12,16,Вторичка,монолитный,2,Дзержинский,,4200000
140,80.0,8,8,Новостройки,кирпичный,3,Красноперекопский,,4278395
141,127.0,4,6,Вторичка,кирпичный,3,Фрунзенский,,8500000
142,55.6,3,3,Вторичка,кирпичный,2,Заволжский,,3700000
143,54.0,8,9,Вторичка,кирпичный,3,Дзержинский,1970,2560000
144,42.7,6,6,Новостройки,монолитный,1,Фрунзенский,,2339700
145,40.0,4,4,Новостройки,кирпичный,1,Заволжский,,1770000
146,36.0,6,6,Новостройки,монолитный,1,Фрунзенский,,1969000
147,64.0,3,9,Вторичка,кирпичный,3,Дзержинский,,2670000
148,110.3,5,5,Вторичка,кирпичный,4,Красноперекопский,,5990000
149,38.1,16,16,Новостройки,монолитный,1,Дзержинский,2018,1730778
150,32.0,5,5,Вторичка,кирпичный,1,Кировский,,2350000
151,60.5,13,17,Вторичка,панельный,2,Фрунзенский,2018,2550000
152,42.7,2,10,Вторичка,кирпичный,1,Дзержинский,,2970000
153,57.4,5,9,Новостройки,кирпичный,2,Заволжский,,2611000
154,,4,5,Вторичка,кирпичный,1,Дзержинский,1963,1299000
155,172.0,3,4,Вторичка,кирпичный,4,Кировский,1932,39500000
156,86.2,2,3,Новостройки,кирпичный,3,Заволжский,,5422609
157,,8,9,Вторичка,кирпичный,1,Кировский,,2850000
158,35.0,2,2,Вторичка,кирпичный,1,Фрунзенский,,2250000
159,44.3,1,5,Вторичка,кирпичный,2,Красноперекопский,,2150000
160,36.0,3,9,Новостройки,кирпичный,1,Красноперекопский,1925,1880000
161,39.0,3,8,Новостройки,кирпичный,1,Красноперекопский,,2320000
162,58.0,3,5,Вторичка,кирпичный,2,Кировский,,4400000
163,63.0,5,5,Вторичка,кирпичный,3,Фрунзенский,,3350000
164,52.0,1,3,Новостройки,кирпичный,2,Заволжский,,1950000
165,51.3,7,7,Новостройки,кирпичный,1,Кировский,,4800000
166,47.0,1,5,Вторичка,кирпичный,2,Красноперекопский,,1780000
167,34.0,5,6,Новостройки,кирпичный,1,Заволжский,,1502100
168,48.0,1,9,Вторичка,панельный,2,Дзержинский,,1750000
169,65.1,3,3,Вторичка,кирпичный,3,Фрунзенский,,2300000
170,57.0,3,5,Вторичка,панельный,3,Дзержинский,1968,2100000
171,86.0,1,10,Вторичка,кирпичный,3,Дзержинский,1998,3800000
172,50.0,4,12,Вторичка,кирпичный,2,Фрунзенский,,2870000
173,70.0,7,8,Новостройки,кирпичный,2,Красноперекопский,,4000000
174,86.0,2,8,Новостройки,кирпичный,3,Красноперекопский,,4642380
175,57.2,3,6,Новостройки,кирпичный,2,Заволжский,,2543600
176,66.3,3,6,Новостройки,кирпичный,2,Заволжский,,2751900
177,65.0,5,9,Вторичка,кирпичный,3,Дзержинский,,2700000
178,,1,5,Вторичка,кирпичный,1,Заволжский,,1250000
179,35.5,1,14,Вторичка,кирпичный,1,Дзержинский,2014,1630000
180,48.0,18,18,Новостройки,монолитный,1,Ленинский,,2900000
181,49.8,2,5,Вторичка,кирпичный,2,Дзержинский,,2450000
182,39.0,6,6,Новостройки,кирпичный,1,Фрунзенский,,2176160
183,68.0,6,10,Вторичка,кирпичный,2,Фрунзенский,,4000000
184,124.6,6,6,Новостройки,кирпичный,4,Заволжский,,5111500
185,75.7,7,11,Вторичка,кирпичный,3,Фрунзенский,,4500000
186,43.2,5,10,Новостройки,кирпичный,1,Фрунзенский,,1850000
187,74.4,2,3,Новостройки,кирпичный,2,Заволжский,,3124000
188,55.5,1,10,Новостройки,кирпичный,2,Фрунзенский,,2608030
189,66.3,2,5,Вторичка,кирпичный,2,Фрунзенский,,3646500
190,83.0,11,12,Вторичка,кирпичный,3,Заволжский,,4980000
191,39.0,4,10,Вторичка,панельный,1,Фрунзенский,,1630000
192,30.0,5,5,Вторичка,панельный,1,Дзержинский,,1550000
193,80.0,2,5,Вторичка,кирпичный,2,Красноперекопский,,5650000
194,63.7,5,9,Вторичка,кирпичный,3,Фрунзенский,1981,2820000
195,65.4,6,6,Новостройки,кирпичный,1,Заволжский,,2928920
196,45.3,4,5,Вторичка,кирпичный,2,Дзержинский,1973,2050000
197,77.0,5,8,Новостройки,кирпичный,4,Заволжский,,3215975
198,30.0,5,5,Вторичка,кирпичный,1,Заволжский,1968,1190000
199,45.0,5,5,Вторичка,кирпичный,2,Кировский,1974,3000000
200,79.0,9,10,Вторичка,панельный,3,Фрунзенский,2012,3500000
201,31.2,2,5,Вторичка,кирпичный,1,Красноперекопский,,1790000
202,62.6,2,9,Вторичка,кирпичный,2,Заволжский,,2950000
203,65.5,10,16,Новостройки,монолитный,2,Фрунзенский,,2500000
204,59.0,3,3,Вторичка,панельный,3,Фрунзенский,,2370000
205,43.2,2,5,Вторичка,кирпичный,2,Кировский,,2650000
206,22.0,4,9,Вторичка,панельный,1,Дзержинский,1982,1050000
207,42.2,7,8,Новостройки,кирпичный,1,Красноперекопский,,2300000
208,39.4,5,10,Новостройки,кирпичный,1,Дзержинский,,2164250
209,43.4,7,14,Новостройки,кирпичный,1,Фрунзенский,,1981000
210,63.0,5,9,Вторичка,кирпичный,3,Фрунзенский,,3500000
211,44.0,1,5,Вторичка,кирпичный,2,Красноперекопский,1965,1600000
212,41.0,6,8,Вторичка,кирпичный,1,Красноперекопский,,2600000
213,58.0,8,12,Вторичка,кирпичный,3,Дзержинский,,2590000
214,88.2,4,5,Вторичка,кирпичный,3,Фрунзенский,,4400000
215,54.4,4,10,Новостройки,кирпичный,2,Дзержинский,,2937600
216,80.4,1,12,Вторичка,кирпичный,3,Дзержинский,,3457200
217,50.0,6,9,Вторичка,панельный,2,Фрунзенский,,2450000
218,59.0,2,5,Вторичка,панельный,3,Дзержинский,,1960000
219,36.6,1,6,Вторичка,кирпичный,1,Заволжский,,1614800
220,88.1,1,3,Вторичка,кирпичный,3,Красноперекопский,,4200000
221,77.0,5,5,Вторичка,кирпичный,3,Кировский,1956,4000000
222,64.4,3,4,Вторичка,кирпичный,3,Кировский,1932,3850000
223,32.0,3,5,Вторичка,панельный,1,Кировский,1969,1999000
224,73.1,3,5,Вторичка,кирпичный,2,Фрунзенский,,3650000
225,56.0,1,5,Вторичка,панельный,3,Дзержинский,,2300000
226,45.0,4,5,Вторичка,панельный,2,Дзержинский,1971,1800000
227,56.0,2,2,Вторичка,кирпичный,3,Ленинский,,2200000
228,60.0,8,12,Вторичка,кирпичный,3,Дзержинский,1978,2800000
229,47.4,2,10,Вторичка,кирпичный,1,Заволжский,,2100000
230,37.0,4,12,Вторичка,кирпичный,1,Заволжский,,1850000
231,30.0,4,17,Вторичка,монолитный,студии,Дзержинский,2016,1800000
232,37.0,10,10,Вторичка,кирпичный,1,Ленинский,,2250000
233,62.0,1,5,Вторичка,кирпичный,4,Ленинский,,3100000
234,50.0,4,4,Вторичка,кирпичный,2,Кировский,,2690000
235,45.5,3,12,Вторичка,кирпичный,2,Дзержинский,,2000000
236,51.0,18,18,Новостройки,кирпичный,2,Дзержинский,,2800000
237,44.6,5,5,Вторичка,панельный,2,Кировский,1969,2700000
238,70.0,3,4,Вторичка,кирпичный,3,Красноперекопский,,2770000
239,33.9,4,5,Вторичка,кирпичный,1,Заволжский,,1530000
240,56.0,4,9,Вторичка,панельный,3,Дзержинский,,2300000
241,54.2,5,5,Вторичка,кирпичный,3,Кировский,1966,2650000
242,84.0,9,17,Вторичка,монолитный,3,Дзержинский,,3680000
243,59.4,4,9,Новостройки,кирпичный,2,Заволжский,,2704520
244,34.0,1,3,Вторичка,кирпичный,1,Красноперекопский,,1800000
245,44.6,3,5,Вторичка,панельный,2,Дзержинский,1964,1600000
246,30.0,10,10,Вторичка,панельный,1,Дзержинский,,1700000
247,43.0,10,12,Вторичка,кирпичный,1,Ленинский,,2700000
248,50.2,3,3,Вторичка,кирпичный,2,Ленинский,1953,3600000
249,44.0,5,5,Вторичка,кирпичный,2,Кировский,1963,2450000
250,50.2,3,3,Вторичка,кирпичный,2,Ленинский,1953,3600000
251,44.0,5,5,Вторичка,кирпичный,2,Кировский,1963,2450000
252,73.7,3,3,Вторичка,кирпичный,3,Красноперекопский,,5300000
253,38.0,1,9,Вторичка,панельный,1,Заволжский,1989,2000000
254,53.2,2,4,Вторичка,кирпичный,2,Ленинский,,3500000
255,65.0,8,9,Вторичка,панельный,3,Фрунзенский,1991,2700000
256,40.0,5,9,Вторичка,кирпичный,1,Фрунзенский,2014,2600000
257,42.0,3,5,Вторичка,блочный,2,Дзержинский,1965,1550000
258,67.0,14,14,Вторичка,кирпичный,2,Ленинский,,4380000
259,46.1,1,2,Вторичка,кирпичный,2,Фрунзенский,,690000
260,44.5,3,5,Вторичка,панельный,2,Кировский,1965,1650000
261,44.0,4,5,Вторичка,кирпичный,2,Ленинский,,2450000
262,34.0,3,9,Вторичка,панельный,1,Дзержинский,,1650000
263,60.7,1,9,Вторичка,кирпичный,2,Дзержинский,,2450000
264,81.0,2,3,Вторичка,кирпичный,3,Ленинский,,3800000
265,43.0,4,9,Вторичка,кирпичный,2,Дзержинский,1974,2350000
266,32.1,1,9,Вторичка,кирпичный,1,Заволжский,1975,1750000
267,105.0,2,5,Вторичка,кирпичный,3,Красноперекопский,,5600000
268,80.0,1,2,Вторичка,кирпичный,3,Фрунзенский,,2300000
269,70.0,2,5,Вторичка,кирпичный,2,Красноперекопский,,3190000
270,49.0,3,10,Вторичка,кирпичный,2,Фрунзенский,,2800000
271,46.5,6,6,Вторичка,кирпичный,1,Фрунзенский,,2300000
272,33.3,2,9,Вторичка,кирпичный,1,Дзержинский,1988,1540000
273,63.0,2,9,Вторичка,кирпичный,3,Дзержинский,1995,3050000
274,41.7,3,4,Вторичка,кирпичный,2,Дзержинский,,2200000
275,56.0,2,2,Вторичка,деревянный,3,Кировский,,1600000
276,69.0,6,10,Вторичка,кирпичный,2,Заволжский,2014,3800000
277,63.3,7,9,Вторичка,кирпичный,3,Заволжский,,2500000
278,87.0,2,3,Вторичка,кирпичный,3,Ленинский,,3850000
279,63.4,7,14,Вторичка,кирпичный,2,Фрунзенский,,3900000
280,83.0,8,19,Вторичка,монолитный,3,Дзержинский,,3680576
281,60.8,1,2,Вторичка,кирпичный,3,Ленинский,1953,2000000
282,38.3,11,11,Вторичка,кирпичный,1,Красноперекопский,,2075000
283,33.0,4,4,Вторичка,кирпичный,1,Заволжский,,1600000
284,68.2,5,5,Вторичка,кирпичный,3,Кировский,,4900000
285,45.1,1,5,Вторичка,кирпичный,2,Фрунзенский,,1490000
286,30.0,1,5,Вторичка,панельный,1,Дзержинский,,1380000
287,35.9,1,3,Вторичка,кирпичный,1,Фрунзенский,,2400000
288,44.7,2,5,Вторичка,кирпичный,2,Ленинский,,2100000
289,56.8,5,10,Вторичка,панельный,2,Дзержинский,,3150000
290,22.0,2,9,Вторичка,панельный,1,Заволжский,,1150000
291,59.0,2,5,Вторичка,кирпичный,3,Фрунзенский,,3100000
292,57.0,2,9,Вторичка,панельный,3,Дзержинский,,2700000
293,89.0,1,10,Вторичка,панельный,3,Фрунзенский,2006,4150000
294,32.0,5,5,Вторичка,кирпичный,1,Ленинский,1961,1500000
295,38.0,1,2,Вторичка,кирпичный,2,Кировский,,2200000
296,30.0,3,4,Новостройки,кирпичный,1,Красноперекопский,,1300000
297,,11,13,Вторичка,кирпичный,студии,Дзержинский,,1700000
298,37.0,4,5,Новостройки,кирпичный,1,Заволжский,,1200000
299,37.0,4,5,Новостройки,кирпичный,1,Заволжский,,1200000
300,50.0,4,6,Вторичка,кирпичный,1,Фрунзенский,,3300000
301,51.0,2,3,Вторичка,кирпичный,2,Заволжский,,2700000
302,33.0,7,9,Вторичка,кирпичный,1,Ленинский,,1650000
303,45.0,2,2,Вторичка,кирпичный,2,Фрунзенский,,1250000
304,45.0,10,12,Вторичка,панельный,2,Фрунзенский,,2500000
305,41.0,5,5,Вторичка,кирпичный,2,Фрунзенский,1972,1850000
306,,1,5,Вторичка,кирпичный,1,Заволжский,1971,1650000
307,32.0,9,10,Вторичка,панельный,студии,Дзержинский,,1600000
308,55.0,4,9,Вторичка,кирпичный,3,Кировский,,4690000
309,31.0,4,5,Вторичка,панельный,1,Дзержинский,,1400000
310,56.0,2,4,Вторичка,кирпичный,1,Заволжский,,3600000
311,42.0,2,5,Вторичка,кирпичный,2,Ленинский,1960,2100000
312,39.0,9,10,Вторичка,панельный,1,Фрунзенский,,1900000
313,21.0,4,9,Вторичка,кирпичный,1,Фрунзенский,,1650000
314,45.0,1,4,Вторичка,панельный,2,Ленинский,,2350000
315,85.0,1,10,Вторичка,панельный,4,Дзержинский,1995,3500000
316,35.0,5,5,Вторичка,кирпичный,1,Дзержинский,1967,1700000
317,30.2,2,9,Новостройки,кирпичный,студии,Красноперекопский,,1774270
318,240.0,2,3,Вторичка,кирпичный,5,Кировский,,15000000
319,54.6,4,4,Вторичка,кирпичный,2,Красноперекопский,,2850000
320,39.2,14,16,Новостройки,кирпичный,1,Заволжский,,1705635
321,60.3,5,16,Новостройки,кирпичный,2,Заволжский,,2624790
322,44.1,9,16,Новостройки,кирпичный,1,Заволжский,,1918785
323,40.0,8,8,Вторичка,панельный,1,Дзержинский,,2150000
324,58.2,1,5,Вторичка,блочный,3,Дзержинский,1969,1700000
325,33.0,9,10,Вторичка,кирпичный,1,Фрунзенский,,1550000
326,91.8,7,9,Новостройки,кирпичный,3,Фрунзенский,,3396000
327,70.1,8,9,Новостройки,кирпичный,2,Фрунзенский,,2590000
328,66.0,4,5,Вторичка,кирпичный,2,Заволжский,,4990000
329,49.6,23,24,Новостройки,монолитный,1,Красноперекопский,,3024990
330,65.7,1,24,Новостройки,монолитный,2,Красноперекопский,,2960000
331,81.1,3,12,Новостройки,кирпичный,3,Фрунзенский,,3902320
332,92.0,18,18,Новостройки,кирпичный,3,Ленинский,,5100000
333,36.8,9,9,Новостройки,кирпичный,1,Заволжский,,1709340
334,34.0,6,6,Новостройки,кирпичный,1,Заволжский,,1420000
335,44.0,4,9,Новостройки,кирпичный,1,Заволжский,,2037165
336,44.7,5,8,Новостройки,кирпичный,1,Заволжский,,2150000
337,42.6,15,22,Новостройки,кирпичный,1,Дзержинский,,1787520
338,42.6,2,22,Новостройки,кирпичный,1,Дзержинский,,1787520
339,76.0,2,3,Вторичка,кирпичный,3,Заволжский,,3250000
340,120.0,9,10,Вторичка,кирпичный,3,Заволжский,,5694800
341,83.7,3,3,Новостройки,кирпичный,3,Заволжский,,4350000
342,83.5,9,9,Новостройки,кирпичный,3,Заволжский,,3757000
343,52.5,2,10,Новостройки,кирпичный,2,Дзержинский,,2321320
344,30.0,5,5,Вторичка,кирпичный,1,Ленинский,,2600000
345,140.0,8,18,Новостройки,монолитный,3,Кировский,,8000000
346,140.0,2,5,Вторичка,кирпичный,5,Кировский,,12950000
347,44.8,7,9,Новостройки,кирпичный,1,Фрунзенский,,1792000
348,35.8,5,17,Новостройки,монолитный,1,Фрунзенский,,2130100
349,35.8,5,17,Новостройки,монолитный,1,Фрунзенский,,2130100
350,71.2,3,17,Новостройки,монолитный,3,Фрунзенский,,3688160
351,41.1,4,4,Вторичка,кирпичный,2,Ленинский,,2300000
352,59.3,10,12,Новостройки,кирпичный,2,Фрунзенский,,2693490
353,63.0,3,3,Новостройки,кирпичный,2,Заволжский,,2900000
354,,8,16,Новостройки,кирпичный,студии,Дзержинский,2018,1486400
355,93.0,3,3,Вторичка,кирпичный,2,Кировский,,12500000
356,81.1,2,12,Новостройки,кирпичный,3,Фрунзенский,2018,3780685
357,90.0,1,4,Вторичка,кирпичный,4,Дзержинский,,4700000
358,37.0,9,9,Новостройки,кирпичный,1,Заволжский,,1709000
359,52.5,6,10,Новостройки,кирпичный,2,Дзержинский,,2321320
360,51.0,2,25,Новостройки,монолитный,1,Красноперекопский,,2523510
361,64.8,12,12,Новостройки,кирпичный,2,Фрунзенский,,3112290
362,84.0,14,17,Новостройки,монолитный,3,Фрунзенский,,3780000
363,40.2,4,4,Новостройки,кирпичный,1,Заволжский,,1900000
364,47.0,4,12,Вторичка,кирпичный,2,Заволжский,,2545000
365,40.6,1,3,Новостройки,кирпичный,1,Заволжский,,2050000
366,37.4,2,3,Новостройки,кирпичный,1,Заволжский,,1800000
367,58.8,2,3,Вторичка,кирпичный,2,Заволжский,,2950000
368,68.0,4,18,Новостройки,монолитный,2,Ленинский,,4000000
369,91.0,3,11,Вторичка,кирпичный,3,Заволжский,,3990000
370,63.0,13,16,Новостройки,кирпичный,2,Фрунзенский,,2450000
371,38.9,2,6,Новостройки,монолитный,1,Фрунзенский,,2137300
372,125.0,8,8,Вторичка,кирпичный,3,Фрунзенский,,9300000
373,51.0,5,5,Вторичка,кирпичный,2,Фрунзенский,,1930000
374,82.6,3,9,Вторичка,монолитный,2,Ленинский,2017,6820000
375,53.7,16,17,Новостройки,монолитный,2,Фрунзенский,,3238000
376,57.8,6,6,Новостройки,кирпичный,2,Фрунзенский,,3180650
377,41.6,9,14,Вторичка,панельный,1,Фрунзенский,,1600000
378,84.0,16,17,Вторичка,панельный,3,Фрунзенский,,3780000
379,33.0,4,4,Новостройки,кирпичный,1,Красноперекопский,,1434630
380,53.0,10,12,Вторичка,кирпичный,2,Дзержинский,,2220000
381,58.4,1,16,Новостройки,монолитный,2,Дзержинский,2018,2607000
382,150.0,5,5,Вторичка,кирпичный,3,Кировский,,9999000
383,49.9,3,9,Вторичка,кирпичный,2,Фрунзенский,,2380000
384,37.9,4,18,Новостройки,кирпичный,1,Заволжский,,1630000
385,47.0,4,4,Новостройки,кирпичный,2,Красноперекопский,,2050000
386,45.3,6,6,Новостройки,кирпичный,1,Фрунзенский,,2492050
387,42.7,6,6,Новостройки,кирпичный,1,Фрунзенский,,2347950
388,42.7,6,6,Новостройки,кирпичный,1,Фрунзенский,,2349600
389,45.0,2,4,Новостройки,монолитный,1,Фрунзенский,,2550000
