id,area,floor,max_floor,type,wall_type,rooms,region,year,price
4915,82.0,12,14,Вторичка,панельный,3,Фрунзенский,2016,3000000
4916,80.7,3,4,Вторичка,кирпичный,3,Кировский,,6000000
4917,84.0,5,17,Новостройки,монолитный,3,Фрунзенский,,3780000
4918,42.3,6,17,Новостройки,монолитный,1,Фрунзенский,,2115000
4919,63.4,4,17,Новостройки,монолитный,2,Фрунзенский,,3074900
4920,42.3,17,17,Новостройки,монолитный,1,Фрунзенский,,2115000
4921,63.4,11,17,Новостройки,монолитный,2,Фрунзенский,,3074900
4922,84.0,1,17,Новостройки,монолитный,3,Фрунзенский,,3780000
4923,84.0,5,17,Новостройки,монолитный,3,Фрунзенский,,3780000
4924,44.0,9,23,Новостройки,кирпичный,1,Дзержинский,,1790000
4925,33.0,4,10,Вторичка,панельный,1,Фрунзенский,,1670000
4926,36.5,3,3,Новостройки,кирпичный,1,Заволжский,,1690000
4927,64.0,1,3,Новостройки,кирпичный,2,Фрунзенский,2015,2950000
4928,45.0,5,5,Вторичка,панельный,2,Дзержинский,,1700000
4929,57.5,6,10,Новостройки,кирпичный,2,Фрунзенский,,2702500
4930,38.0,19,19,Новостройки,монолитный,1,Фрунзенский,,1900000
4931,65.0,4,4,Новостройки,кирпичный,2,Ленинский,,4250000
4932,62.5,3,10,Вторичка,кирпичный,2,Фрунзенский,,2935150
4933,42.7,7,9,Новостройки,кирпичный,1,Красноперекопский,,2481240
4934,77.3,2,9,Новостройки,кирпичный,2,Красноперекопский,,4328240
4935,,2,9,Новостройки,кирпичный,студии,Красноперекопский,,1781210
4936,94.1,1,4,Вторичка,кирпичный,3,Красноперекопский,,4920000
4937,57.1,3,8,Новостройки,кирпичный,2,Заволжский,,2169040
4938,60.7,1,17,Вторичка,монолитный,2,Дзержинский,2017,2630000
4939,35.7,3,8,Новостройки,кирпичный,1,Заволжский,,1355840
